sport,instrument,honors_ap,sat_act_prep,hw,club,stress_score
yes,no,3,yes,240,30,4
no,no,1,yes,300,60,5
yes,no,2,yes,180,20,4
yes,no,2,yes,90,30,3
no,yes,3,yes,80,80,4
yes,no,1,yes,180,30,3
yes,no,1,yes,240,120,3
yes,no,1,yes,120,140,2
no,no,4,no,200,0,3
no,no,0,yes,70,0,2
