Employer,CEO,Gender,CEO_Compensation,Median_Worker_Comp,Ratio,Company_Rating,CEO_Compensation_($000)
O'Reilly Auto Parts,Gregory L. Henslee,male,4465436,29247,153,3.2,446.5436
Motorola Solutions,Gregory Q. Brown,male,7969131,108558,73,3.2,796.9131
Danaher,"H. Lawrence Culp, Jr.",male,13704222,86898,158,2.9,1370.4222
Prologis,Hamid R. Moghadam,male,16514721,75244,219,3.7,1651.4721
Robert Half,"Harold M. Messmer, Jr.",male,8292876,56788,146,3.2,829.2876
Zions Bancorporation,Harris H. Simmons,male,2500822,68400,37,3.5,250.0822
Hess Corporation,"Hess, John B.",male,22459530,75883,296,3.6,2245.953
Western Union,Hikmet Ersek,male,8241800,102595,80,3.1,824.18
Avago Technologies,Hock E. Tan,male,17202596,122285,141,2.5,1720.2596
Starbucks,Howard D. Schultz,male,21466454,32080,669,3.8,2146.6454
Best Buy,Hubert Joly,male,13881219,25160,552,3.4,1388.1219
Monsanto Company,Hugh Grant,male,13436483,81680,165,3.8,1343.6483
Pfizer,Ian C. Read,male,23283048,114526,203,3.7,2328.3048
Colgate-Palmolive,Ian Cook,male,14531582,105472,138,3.8,1453.1582
PepsiCo,Indra K. Nooyi,female,22485574,61876,363,3.5,2248.5574
3M,Inge G. Thulin,male,20115589,84130,239,3.7,2011.5589
Mondelez International,Irene Rosenfeld,female,21039946,49225,427,3.1,2103.9946
Computer Sciences Corp,J. Michael Lawrie,male,13267195,87476,152,2.6,1326.7195
GameStop,J. Paul Raines,male,8604576,24880,346,3.1,860.4576
Chevron,J.S. Watson,male,25970417,110000,236,4.1,2597.0417
Cameron,Jack B. Moore,male,10264287,75883,135,3.5,1026.4287
Navient,Jack Remondi,male,6613724,62440,106,2.6,661.3724
First Solar,James A. Hughes,male,3776136,102693,37,3.8,377.6136
T. Rowe Price,"James Aloysius Charles Kennedy, CFA",male,8902148,51765,172,3.5,890.2148
American Tower,"James D. Taiclet, Jr.",male,12704773,67879,187,3,1270.4773
J.P. Morgan,James Dimon,male,27701709,65344,424,3.5,2770.1709
Cablevision Systems,James L. Dolan,male,23702403,56155,422,3.3,2370.2403
LyondellBasell,James L. Gallogly,male,13192990,113762,116,2.7,1319.299
"NextEra Energy, Inc.",James L. Robo,male,12183296,92554,132,3.1,1218.3296
Ameriprise,James M. Cracchiolo,male,24455192,58902,415,3.4,2445.5192
Red Hat,James M. Whitehurst,male,6692552,115693,58,4,669.2552
Morgan Stanley,James P. Gorman,male,23270044,98232,237,3.6,2327.0044
BorgWarner,James R. Verrier,male,10005230,70015,143,3.7,1000.523
Mosaic Company (Minnesota),James T. Prokopanko,male,14820237,70866,209,3.3,1482.0237
W.W. Grainger,James T. Ryan,male,7711460,66365,116,3.4,771.146
Travelers Companies,Jay S. Fishman,male,20435381,67360,303,3.5,2043.5381
Level 3 Communications,Jeff K. Storey,male,10850861,96791,112,3.1,1085.0861
Whirlpool,Jeff M. Fettig,male,17544567,86000,204,3.6,1754.4567
Fiserv,Jeffery W.Yabuki,male,8275917,76575,108,2.9,827.5917
Intercontinental Exchange,Jeffrey C. Sprecher,male,10621045,110000,97,2.7,1062.1045
Time Warner,Jeffrey L. Bewkes,male,32903139,87916,374,3.6,3290.3139
Hormel,Jeffrey M. Ettinger,male,9662613,69464,139,3.6,966.2613
Vertex Pharmaceuticals,Jeffrey M. Leiden,male,36635468,123840,296,3.7,3663.5468
Amazon.com,Jeffrey P. Bezos,male,1681840,114352,15,3.4,168.184
GE,Jeffrey R. Immelt,male,37250774,89186,418,3.8,3725.0774
Mohawk Industries,Jeffrey S. Lorberbaum,male,5005702,60074,83,3.2,500.5702
Expeditors,Jeffrey S. Musser,male,5080036,55092,92,3.3,508.0036
NVIDIA,Jen-Hsun Huang,female,6022630,127317,47,3.9,602.263
Sealed Air Corporation,Jerome A. Peribere,male,11963159,81340,147,3.1,1196.3159
Kellogg Company,John A. Bryant,male,9258243,66946,138,3.2,925.8243
Eli Lilly,"John C. Lechleiter, Ph.D.",male,14481142,104142,139,3.8,1448.1142
Gilead Sciences,John C. Martin,male,18957994,119176,159,3,1895.7994
Chubb Corp,John D. Finnegan,male,17841294,74805,239,3.8,1784.1294
Michael Kors,John D. Idol,male,13559220,32000,424,3.4,1355.922
Omnicom,John D. Wren,male,24014697,76493,314,3.9,2401.4697
Stanley Black & Decker,John F. Lundgren,male,13137482,69714,188,3.2,1313.7482
