Employer,CEO,Gender,CEO_Compensation,Median_Worker_Comp,Ratio,Company_Rating,CEO_Compensation_($000)
Microsoft,Satya Nadella,male,84308755,137000,615,3.8,8430.8755
Broadcom,Scott A. McGregor,male,16451411,145084,113,3.5,1645.1411
Textron,Scott C. Donnelly,male,13590693,76537,178,3.3,1359.0693
Cintas,Scott D. Farmer,male,4700884,52222,90,3.3,470.0884
CenterPoint Energy,Scott M. Prochazka,male,4897291,68000,72,3.7,489.7291
Patterson Companies,Scott P. Anderson,male,2570509,56997,45,3.4,257.0509
Air Products,Seifi Ghasemi,male,10189713,89015,114,3.5,1018.9713
Adobe,Shantanu Narayen,male,17890918,133322,134,4,1789.0918
Juniper Networks,Shaygan Kheradpir,male,30165992,153624,196,3.6,3016.5992
Henry Schein,Stanley M. Bergman,male,6869691,50000,137,3.3,686.9691
Wynn Resorts,Stephen A. Wynn,male,25322854,50961,497,3.5,2532.2854
Western Digital,Stephen D. Milligan,male,11290562,107750,105,3.3,1129.0562
Huntington National Bank,Stephen D. Steinour,male,7498609,48569,154,3,749.8609
Praxair,Stephen F. Angel,male,19687401,80576,244,3.1,1968.7401
Quest Diagnostics,Stephen H. Rusckowski,male,9266835,55828,166,2,926.6835
Occidental Petroleum,Stephen I. Chazen,male,6792704,110465,61,3.3,679.2704
UnitedHealth Group,Stephen J. Hemsley,male,14856321,67000,222,2.9,1485.6321
Seagate Technology,Stephen J. Luczo,male,2615517,108939,24,3.6,261.5517
Wyndham Worldwide,Stephen P. Holmes,male,14111891,58000,243,3.4,1411.1891
Equinix,Stephen Smith,male,11513031,145084,79,3.6,1151.3031
Chipotle,Steve Ells,male,28924270,19000,1522,3.4,2892.427
Microchip Technology,Steve Sanghi,male,5767310,81124,71,3.7,576.731
MetLife,"Steven A. Kandarian, J.D.",male,15163802,79045,192,3.2,1516.3802
AmerisourceBergen,Steven H. Collis,male,9902985,59462,167,3.2,990.2985
Bed Bath & Beyond,Steven H. Temares,male,19116040,26047,734,2.9,1911.604
Southwestern Energy,Steven L. Mueller,male,11453881,94986,121,3.4,1145.3881
Transocean,Steven L. Newman,male,14248615,89279,160,3.1,1424.8615
Qualcomm,Steven M. Mollenkopf,male,60740592,121249,501,3.7,6074.0592
Lennar,Stuart A. Miller,male,17909543,63000,284,3,1790.9543
Reynolds American,Susan M. Cameron,female,10751553,63906,168,3.4,1075.1553
Aimco Apartment Homes,"Terry Considine, J.D.",male,4284430,57978,74,4,428.443
Macy's,Terry J. Lundgren,male,16497220,22800,724,3,1649.722
ONEOK,Terry K. Spencer,male,4042922,74365,54,3.7,404.2922
Southern Company,Thomas A. Fanning,male,11515993,81536,141,3.6,1151.5993
Raytheon,Thomas A. Kennedy,male,13733364,89057,154,3.4,1373.3364
Genuine Parts,Thomas C. Gallagher,male,10130811,59131,171,3,1013.0811
Dominion Resources,"Thomas F. Farrell, II",male,20612945,85943,240,3.8,2061.2945
NetApp,Thomas Georgens,male,8580575,130033,66,3.5,858.0575
Kimberly-Clark,Thomas J. Falk,male,15395181,83737,184,3.6,1539.5181
CarMax,Thomas J. Folliard,male,9043334,44792,202,3.5,904.3334
TE Connectivity,Thomas J. Lynch,male,11616982,84792,137,3.3,1161.6982
Genworth Financial,Thomas J. McInerney,male,2696365,77128,35,3.3,269.6365
Allstate,Thomas J. Wilson,male,15641385,56155,279,3.4,1564.1385
Unum Group,Thomas R. Watjen,male,13314589,62254,214,3.6,1331.4589
AvalonBay,Tim Naughton,male,7427676,54491,136,4,742.7676
Apple,Timothy D. Cook,male,9222638,36760,251,4,922.2638
Bard,Timothy M. Ring,male,10840935,82638,131,3.6,1084.0935
Tenet Healthcare,Trevor Fetter,female,17950107,69714,257,3,1795.0107
Xerox,Ursula M. Burns,female,22205362,69307,320,2.5,2220.5362
Coach,Victor Luis,male,6679113,34771,192,3.6,667.9113
BD,"Vincent A. Forlenza, BD",male,10983518,95000,116,3.2,1098.3518
Analog Devices,Vincent T. Roche,male,6090567,103127,59,3.7,609.0567
IBM,Virginia M. Rometty,female,19345125,106184,182,3.2,1934.5125
Crown Castle,W. Benjamin Moreland,male,8412742,68397,123,4.1,841.2742
Costco Wholesale,W. Craig Jelinek,male,5622927,30555,184,3.9,562.2927
American Airlines,W. Douglas Parker,male,12301976,54800,224,3.4,1230.1976
Boeing,"W. James McNerney, Jr.",male,28861920,84974,340,3.5,2886.192
Kroger,W. Rodney McMullen,male,12987582,20420,636,3,1298.7582
Whole Foods Market,"Walter E. Robb, III",male,2742520,26000,105,3.6,274.252
Charles Schwab,Walter W. Bettinger II,male,11841179,71619,165,3.4,1184.1179
Ameren,"Warner L. Baxter, CPA",male,4958397,74000,67,3.7,495.8397
Corning,Wendell P. Weeks,male,13034461,85882,152,3.8,1303.4461
Northrop Grumman,Wesley G. Bush,male,21795703,88147,247,3.5,2179.5703
Fastenal,Willard D. Oberton,male,1468943,35834,41,2.9,146.8943
H&R Block,William C. Cobb,male,7485383,35488,211,3.6,748.5383
AutoZone,"William C. Rhodes, III",male,5320741,24900,214,2.9,532.0741
SunTrust,"William Henry Rogers, Jr.",male,9190668,44562,206,2.8,919.0668
Sysco,"William J. DeLaney, III",male,7815394,60000,130,3.1,781.5394
Iron Mountain Inc,William L. Meaney,male,6840413,78160,88,2.9,684.0413
